"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12"
"91","J. Conner","J. Conner","RB","ARI","8","","injury-status","Final L 28-34 @ BUF","226","236","1094","8","47","55","414","1","-","-","-","-"
"92","B. Robinson","B. Robinson","RB","WAS","12","","injury-status","Final L 20-37 @ TB","148","187","799","8","20","25","159","-","-","-","-","-"
"93","J. Reed","J. Reed","WR","GB","5","Ques","injury-status questionable","Final L 29-34 @ PHI","167","20","163","1","55","75","857","6","-","-","-","-"
"94","B. Young","B. Young","QB","CAR","14","","injury-status","Final L 10-47 @ NO","199","43","249","6","-","-","-","-","234","384","2403","15"
"95","G. Kittle","G. Kittle","TE","SF","14","","injury-status","Final W 32-19 vs NYJ","198","-","-","-","78","94","1106","8","-","-","-","-"
"96","T. Kelce","T. Kelce","TE","KC","10","","injury-status","Final W 27-20 vs BAL","145","1","1","-","97","133","823","3","-","-","-","-"
"97","C. Ridley","C. Ridley","WR","TEN","10","Ques","injury-status questionable","Final L 17-24 @ CHI","166","8","55","1","64","120","1017","4","-","-","-","-"
"98","C. Olave","C. Olave","WR","NO","11","","injury-status","Final W 47-10 vs CAR","60","1","7","-","32","44","400","1","-","-","-","-"
"99","R. Shaheed","R. Shaheed","WR","NO","11","","injury-status","Final W 47-10 vs CAR","69","6","29","-","20","41","349","3","-","-","-","-"
"100","C. Kirk","C. Kirk","WR","JAX","8","","injury-status","Final L 17-20 @ MIA","57","-","-","-","27","47","379","1","-","-","-","-"
"101","J. Addison","J. Addison","WR","MIN","6","Sus","injury-status sus","Final W 28-6 @ NYG","181","3","20","1","63","99","875","9","-","-","-","-"
"102","T. McBride","T. McBride","TE","ARI","8","","injury-status","Final L 28-34 @ BUF","194","1","2","1","111","147","1146","2","-","-","-","-"
"103","J. Meyers","J. Meyers","WR","LV","8","","injury-status","Final L 10-22 @ LAC","175","2","23","-","87","129","1027","4","-","-","-","-"
"104","J. Williams","J. Williams","RB","DEN","12","","injury-status","Final L 20-26 @ SEA","130","139","513","4","52","70","346","-","-","-","-","-"
"105","J. Smith-Njigba","J. Smith-Njigba","WR","SEA","8","","injury-status","Final W 26-20 vs DEN","202","5","26","-","100","137","1130","6","1","1","35","-"
"106","B. Bowers","B. Bowers","TE","LV","8","","injury-status","Final L 10-22 @ LAC","207","5","13","-","112","153","1194","5","-","-","-","-"
"107","D. Singletary","D. Singletary","RB","NYG","14","","injury-status","Final L 6-28 vs MIN","84","113","437","4","21","24","119","-","-","-","-","-"
"108","X. Worthy","X. Worthy","WR","KC","10","","injury-status","Final W 27-20 vs BAL","158","20","104","3","59","98","638","6","-","-","-","-"
"109","D. Maye","D. Maye","QB","NE","14","","injury-status","Final W 16-10 @ CIN","178","54","421","2","-","-","-","-","225","338","2276","15"
"110","Z. Moss","Z. Moss","RB","CIN","10","Ques","injury-status questionable","Final L 10-16 vs NE","68","74","242","2","23","27","187","1","-","-","-","-"
"111","K. Allen","K. Allen","WR","CHI","5","","injury-status","Final W 24-17 vs TEN","149","-","-","-","70","121","744","7","-","1","-","-"
"112","J. Dobbins","J. Dobbins","RB","LAC","12","","injury-status","Final W 22-10 vs LV","176","195","905","9","32","38","153","-","-","-","-","-"
"113","G. Edwards","G. Edwards","RB","LAC","12","","injury-status","Final W 22-10 vs LV","63","101","365","4","3","5","6","-","-","-","-","-"
"114","S. LaPorta","S. LaPorta","TE","DET","8","","injury-status","Final W 26-20 vs LAR","145","-","-","-","60","83","726","7","-","-","-","-"
"115","R. Mostert","R. Mostert","RB","MIA","12","","injury-status","Final W 20-17 vs JAX","59","85","278","2","19","23","161","-","-","-","-","-"
"116","R. Odunze","R. Odunze","WR","CHI","5","","injury-status","Final W 24-17 vs TEN","116","3","15","-","54","101","734","3","-","-","-","-"
"117","D. Kincaid","D. Kincaid","TE","BUF","7","","injury-status","Final W 34-28 vs ARI","78","-","-","-","44","75","448","2","-","-","-","-"
"118","W. Robinson","W. Robinson","WR","NYG","14","","injury-status","Final L 6-28 vs MIN","136","3","18","-","93","140","699","3","-","-","-","-"
"119","C. Brown","C. Brown","RB","CIN","10","","injury-status","Final L 10-16 vs NE","226","229","990","7","54","65","360","4","-","-","-","-"
"120","C. Watson","C. Watson","WR","GB","5","PUP","injury-status pup","Final L 29-34 @ PHI","90","4","23","-","29","53","620","2","-","-","-","-"
"121","K. Shakir","K. Shakir","WR","BUF","7","Ques","injury-status questionable","Final W 34-28 vs ARI","144","2","4","-","76","100","821","4","-","-","-","-"
