index,pick,player,position,team,bidder,amount
"17","176","J. Downs","WR","","DannyTheSwift","1"
"16","177","R. Johnson","RB","","squeege8","1"
"15","178","D. Vaughn","RB","","broadwayed","1"
"14","179","B. Purdy","QB","","eqengineering","1"
"13","180","K. Hunt","RB","","lmamut925","1"
"12","181","Z. Jones","WR","","getbiggs","1"
"11","182","R. Patterson","K","","DannyTheSwift","1"
"10","183","D. Broncos","DEF","DEN","squeege8","1"
"9","184","J. Myers","K","","eqengineering","1"
"8","185","J. Goff","QB","","lmamut925","1"
"7","186","M. Gallup","WR","","getbiggs","1"
"6","187","D. Jackson","RB","","squeege8","1"
"5","188","S. LaPorta","TE","","lmamut925","1"
"4","189","M. Valdes-Scantling","WR","","getbiggs","1"
"3","190","J. Ross","WR","","squeege8","1"
"2","191","R. Wilson","QB","","squeege8","1"
"1","192","T. Spears","RB","","squeege8","1"
