,date,category,last_modified,week,season,season_type,sport,game_id,updated_at,player_id,team_x,company,opponent,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,cmp_pct,fum_lost,gp,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,pts_half_ppr,pts_ppr,pts_std,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_rb,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,bonus_rec_wr,bonus_rec_te,def_kr_td,fgm_40_49,fgm_50p,fgm_yds,fgmiss_40_49,fgmiss_50p,xpm,xpmiss,blk_kick,def_fum_td,fum_rec,int,pass_int_td,pts_allow_0,sack,safe,yds_allow_0_100,pr_td,idp_sack,idp_safe,idp_tkl,idp_tkl_ast,idp_tkl_solo,fantasy_positions,first_name,injury_body_part,injury_notes,injury_start_date,injury_status,last_name,news_updated,position,team_y,team_abbr,team_changed_at,years_exp,metadata.channel_id,metadata.rookie_year,metadata,metadata.injury_override_regular_2020_5,metadata.source_id,metadata.years_exp_shift,metadata.injury_override_off_2021_0,metadata.override_active,metadata.injury_override_regular_2020_10,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2020_8,metadata.injury_override_regular_2021_3,metadata.injury_override_regular_2021_4,pos_med,pos_min,var,pred_variance,prev_mean_error,prev_var_error,prev_mean_actual,lambda,adjusted_pts
23,,proj,1724831463913,,2024,regular,nfl,season,2024-08-28 07:51:03.913,2471,DEN,rotowire,,681.3,999.0,999.0,458.0,665.5,458.0,477.0,999.0,652.2,999.0,477.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['RB'],Michael,,,,,Burton,1724800557244.0,FB,,,,9.0,1113708826273542145,2015,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
24,,proj,1724831469600,,2024,regular,nfl,season,2024-08-28 07:51:09.600,7212,,rotowire,,375.0,999.0,527.0,999.0,667.8,999.0,482.8,999.0,521.9,999.0,482.8,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['RB'],Spencer,,,,,Nigh,1597360535903.0,FB,,,,2.0,1116853350269190144,,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
25,,proj,1724831463042,,2024,regular,nfl,season,2024-08-28 07:51:03.042,1264,BAL,rotowire,,247.5,999.0,351.8,234.0,215.8,234.0,132.6,266.7,132.6,999.0,132.6,,,18.0,,,,,,,,108.0,108.0,108.0,,,,,,,,,,,,,,,,,,,,9.0,5.0,691.0,2.0,2.0,48.0,1.0,,,,,,,,,,,,,,,,['K'],Justin,,,,,Tucker,1705440330585.0,K,BAL,,,12.0,1113708866371088384,2012,,,,,,,,,,,,,,94.0,83.0,25.0,4598.100377258566,29.375,713.2010869565217,126.66666666666667,0.13427991082067484,124.1601083313474
26,,proj,1724831465176,,2024,regular,nfl,season,2024-08-28 07:51:05.176,4227,KC,rotowire,,249.4,999.0,354.8,237.1,218.0,237.1,134.6,267.4,134.6,999.0,134.6,,,18.0,,,,,,,,102.0,102.0,102.0,,,,,,,,,,,,,,,,,,,,7.0,5.0,593.0,1.0,2.0,51.0,2.0,,,,,,,,,,,,,,,,['K'],Harrison,,,,,Butker,1722888906422.0,K,KC,,,7.0,1113708748775387136,2017,,,,,,,,,,,,,,94.0,83.0,19.0,4598.100377258566,29.375,713.2010869565217,126.66666666666667,0.13427991082067484,123.35442886642335
27,,proj,1724831461441,,2024,regular,nfl,season,2024-08-28 07:51:01.441,11533,DAL,rotowire,,247.8,999.0,358.7,239.1,221.6,239.1,138.8,268.1,138.8,999.0,138.8,,,18.0,,,,,,,,99.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,7.0,5.0,593.0,1.0,2.0,48.0,2.0,,,,,,,,,,,,,,,,['K'],Brandon,,,,,Aubrey,1724082346135.0,K,DAL,,,1.0,1113708850915078145,2023,,,,,,,,,,,,,,94.0,83.0,16.0,4598.100377258566,29.375,713.2010869565217,126.66666666666667,0.13427991082067484,122.95158913396133
28,,proj,1724831470642,,2024,regular,nfl,season,2024-08-28 07:51:10.642,7839,CIN,rotowire,,250.9,999.0,356.7,239.5,220.5,239.5,139.1,269.8,139.1,999.0,139.1,,,18.0,,,,,,,,107.0,107.0,107.0,,,,,,,,,,,,,,,,,,,,9.0,5.0,691.0,2.0,2.0,48.0,2.0,,,,,,,,,,,,,,,,['K'],Evan,,,,,McPherson,1723831807358.0,K,CIN,,,3.0,1113708807579529216,2021,,,,,,,,,,,,,,94.0,83.0,24.0,4598.100377258566,29.375,713.2010869565217,126.66666666666667,0.13427991082067484,124.02582842052674
29,,proj,1724831465756,,2024,regular,nfl,season,2024-08-28 07:51:05.756,4666,ATL,rotowire,,252.9,999.0,359.2,278.3,225.0,278.3,142.8,271.2,142.8,999.0,142.8,,,18.0,,,,,,,,96.0,96.0,96.0,,,,,,,,,,,,,,,,,,,,7.0,6.0,643.0,2.0,2.0,39.0,1.0,,,,,,,,,,,,,,,,['K'],Younghoe,,,,,Koo,1723980331170.0,K,ATL,,,7.0,1113708862659129344,2017,,,,,,,,,,,,,,94.0,83.0,13.0,4598.100377258566,29.375,713.2010869565217,126.66666666666667,0.13427991082067484,122.54874940149931
30,,proj,1724831465129,,2024,regular,nfl,season,2024-08-28 07:51:05.129,4195,PHI,rotowire,,253.9,999.0,365.2,279.8,228.8,279.8,159.7,271.6,159.7,999.0,159.7,,,18.0,,,,,,,,91.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,8.0,4.0,592.0,1.0,2.0,41.0,2.0,,,,,,,,,,,,,,,,['K'],Jake,,,,,Elliott,1710361857137.0,K,PHI,,,7.0,1113708713677451264,2017,,,,,,,,,,,,,,94.0,83.0,8.0,4598.100377258566,29.375,713.2010869565217,126.66666666666667,0.13427991082067484,121.87734984739593
31,,proj,1724831460412,,2024,regular,nfl,season,2024-08-28 07:51:00.412,10937,SF,rotowire,,251.4,999.0,367.6,281.6,231.8,281.6,160.5,270.3,160.5,999.0,160.5,,,18.0,,,,,,,,93.0,93.0,93.0,,,,,,,,,,,,,,,,,,,,7.0,4.0,543.0,2.0,2.0,48.0,3.0,,,,,,,,,,,,,,,,['K'],Jake,,,,,Moody,1706735759593.0,K,SF,,,1.0,1113708879969021952,2023,,,,,,,,,,,,,,94.0,83.0,10.0,4598.100377258566,29.375,713.2010869565217,126.66666666666667,0.13427991082067484,122.14590966903728
32,,proj,1724831464522,,2024,regular,nfl,season,2024-08-28 07:51:04.522,3451,HOU,rotowire,,254.3,999.0,402.0,284.7,234.9,284.7,163.9,275.1,163.9,999.0,163.9,,,18.0,,,,,,,,94.0,94.0,94.0,,,,,,,,,,,,,,,,,,,,7.0,4.0,543.0,2.0,2.0,48.0,2.0,,,,,,,,,,,,,,,,['K'],Ka'imi,,,,,Fairbairn,1723297560753.0,K,HOU,,,8.0,1113708783479058432,2016,,,,,,,,,,,,,,94.0,83.0,11.0,4598.100377258566,29.375,713.2010869565217,126.66666666666667,0.13427991082067484,122.28018957985796
